user_id,age_group,gender,profession,hours_spending,musical_aspect,song_id
10001,18 - 24,Female,Student,0 - 1,Tempo/speed,174
10001,18 - 24,Female,Student,0 - 1,Tempo/speed,220
10002,25 - 34,Male,Working,2 - 3,The singer's voice,221
10003,18 - 24,Female,Software Engineer,more than 5,The singer's voice,164
10004,18 - 24,Male,software engineer,more than 5,The singer's voice,6
10004,18 - 24,Male,Software Engineer,3 - 5,The instrument being used,124
10004,18 - 24,Male,Software Engineer,3 - 5,The instrument being used,222
10004,18 - 24,Male,Software Engineer,0 - 1,Tempo/speed,223
10004,18 - 24,Male,Software Engineer,0 - 1,Tempo/speed,59
10010,18 - 24,Female,Undergraduate,0 - 1,The singer's voice,92
10010,18 - 24,Female,Undergraduate,0 - 1,The singer's voice,146
10010,18 - 24,Female,Undergraduate,0 - 1,The singer's voice,10
10010,18 - 24,Female,Undergraduate,0 - 1,The singer's voice,174
10014,18 - 24,Female,Student,0 - 1,The instrument being used,174
10015,18 - 24,Female,UI engineer,3 - 5,The singer's voice,174
10015,18 - 24,Female,UI engineer,3 - 5,The singer's voice,224
10015,18 - 24,Female,UI engineer,3 - 5,The singer's voice,134
10015,18 - 24,Female,UI engineer,3 - 5,The singer's voice,225
10019,18 - 24,Female,UI engineer,3 - 5,The singer's voice,196
10019,18 - 24,Female,UI engineer,3 - 5,The singer's voice,127
10019,18 - 24,Female,UI engineer,3 - 5,The singer's voice,226
10022,25 - 34,Female,Engineer,2 - 3,Tempo/speed,127
10023,25 - 34,Female,Engineer,2 - 3,Tempo/speed,194
10024,25 - 34,Female,Engineer,2 - 3,Tempo/speed,123
10024,25 - 34,Female,Engineer,2 - 3,Tempo/speed,152
10026,18 - 24,Female,student,2 - 3,The singer's voice,3
10027,18 - 24,Male,Marketer,2 - 3,The instrument being used,151
10028,18 - 24,Female,Student,0 - 1,Tempo/speed,26
10028,18 - 24,Female,Student,0 - 1,Tempo/speed,210
10028,18 - 24,Female,Student,0 - 1,Tempo/speed,52
10028,18 - 24,Female,Student,0 - 1,Tempo/speed,55
10032,18 - 24,Female,student,0 - 1,The singer's voice,79
10033,25 - 34,Male,student,2 - 3,The singer's voice,227
10033,25 - 34,Male,student,2 - 3,The singer's voice,202
10033,25 - 34,Male,student,2 - 3,The singer's voice,228
10033,25 - 34,Male,student,2 - 3,The singer's voice,174
10037,25 - 34,Male,student,2 - 3,The singer's voice,175
10038,25 - 34,Male,student,2 - 3,The singer's voice,229
10039,25 - 34,Male,student,2 - 3,The singer's voice,140
10040,25 - 34,Male,student,2 - 3,The singer's voice,79
10040,25 - 34,Male,student,2 - 3,The singer's voice,84
10042,25 - 34,Male,Undergraduate,0 - 1,Tempo/speed,230
10042,25 - 34,Male,Undergraduate,0 - 1,Tempo/speed,243
10044,18 - 24,Male,Student,0 - 1,The instrument being used,234
10045,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,196
10045,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,176
10045,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,231
10045,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,86
10049,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,232
10049,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,102
10049,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,37
10049,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,229
10049,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,76
10054,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,194
10055,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,128
10056,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,175
10057,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,233
10058,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,228
10058,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,234
10058,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,235
10061,18 - 24,Female,Student,2 - 3,Music,39
10061,18 - 24,Female,Student,2 - 3,Music,81
10061,18 - 24,Female,Student,2 - 3,Music,92
10064,18 - 24,Male,student,2 - 3,Music,40
10065,18 - 24,Male,student,2 - 3,Music,236
10065,18 - 24,Male,student,2 - 3,Music,80
10065,18 - 24,Male,student,2 - 3,Music,173
10068,18 - 24,Female,Student,2 - 3,The message of the song,147
10069,18 - 24,Female,Student,2 - 3,The message of the song,237
10070,18 - 24,Female,Student,2 - 3,The message of the song,238
10071,18 - 24,Female,Business Analyst,2 - 3,Music,160
10072,18 - 24,Female,Business Analyst,2 - 3,Music,110
10073,18 - 24,Female,AL Teacher,more than 5,Music,59
10074,18 - 24,Female,AL Teacher,more than 5,Music,160
10075,18 - 24,Female,Student,2 - 3,Music,78
10075,18 - 24,Female,Student,2 - 3,Music,225
10075,18 - 24,Female,Student,2 - 3,Music,239
10079,18 - 24,Female,Student,2 - 3,Tempo/speed,13
10079,18 - 24,Female,Student,2 - 3,Tempo/speed,210
10079,18 - 24,Female,Student,2 - 3,Tempo/speed,191
10079,18 - 24,Female,Student,2 - 3,Tempo/speed,80
10082,18 - 24,Female,Student,2 - 3,Tempo/speed,178
10082,18 - 24,Female,Student,2 - 3,Tempo/speed,182
10082,18 - 24,Female,Student,2 - 3,Tempo/speed,106
10082,18 - 24,Female,Student,2 - 3,Tempo/speed,145
10082,18 - 24,Female,Student,2 - 3,Tempo/speed,211
10087,18 - 24,Female,Student,2 - 3,Tempo/speed,146
10088,18 - 24,Female,Business Analyst,0 - 1,Music,228
10088,18 - 24,Female,Business Analyst,0 - 1,Music,140
10090,18 - 24,Female,Student,0 - 1,The singer's voice,79
10090,18 - 24,Female,Student,0 - 1,The singer's voice,174
10090,18 - 24,Female,Student,0 - 1,The singer's voice,179
10093,25 - 34,Female,Engineer,2 - 3,Music,240
10094,18 - 24,Male,Undergraduate,2 - 3,Tempo/speed,77
10095,18 - 24,Female,Student,2 - 3,The message of the song,228
10095,18 - 24,Female,Student,2 - 3,The message of the song,196
10095,18 - 24,Female,Student,2 - 3,The message of the song,135
10098,18 - 24,Female,Student,2 - 3,The message of the song,227
10098,18 - 24,Female,Student,2 - 3,The message of the song,99
10100,18 - 24,Female,Student,0 - 1,The instrument being used,145
10101,18 - 24,Female,Student,0 - 1,The instrument being used,241
10102,25 - 34,Female,Student,0 - 1,The message of the song,140
10102,25 - 34,Female,Student,0 - 1,The message of the song,227
10102,25 - 34,Female,Student,0 - 1,The message of the song,79
10105,18 - 24,Female,Student,0 - 1,Tempo/speed,140
10106,18 - 24,Female,Student,2 - 3,The message of the song,310
10105,18 - 24,Female,Student,2 - 3,The message of the song,122
10105,18 - 24,Female,Student,2 - 3,The message of the song,242
10105,18 - 24,Female,Student,2 - 3,The message of the song,311
10110,18 - 24,Female,Student,2 - 3,The message of the song,243
10110,18 - 24,Female,Student,2 - 3,The message of the song,139
10110,18 - 24,Female,Student,2 - 3,The message of the song,14
10110,18 - 24,Female,Student,2 - 3,The message of the song,73
10114,18 - 24,Female,Student,2 - 3,The message of the song,244
10115,18 - 24,Female,Student,2 - 3,The message of the song,245
10116,18 - 24,Female,Student,2 - 3,The message of the song,246
10117,25 - 34,Male,Executive,more than 5,Music,212
10118,25 - 34,Male,Executive,more than 5,Music,247
10118,18 - 24,Male,Engineer,2 - 3,Music,135
10120,18 - 24,Female,Engineer,0 - 1,Music,174
10121,18 - 24,Female,Student,0 - 1,Music,140
10122,18 - 24,Female,Architecture student,2 - 3,The message of the song,248
10122,18 - 24,Female,Architecture student,2 - 3,The message of the song,79
10122,18 - 24,Female,Architecture student,2 - 3,The message of the song,191
10122,18 - 24,Female,Architecture student,2 - 3,The message of the song,210
10122,18 - 24,Female,Architecture student,2 - 3,The message of the song,55
10127,18 - 24,Female,Architecture student,2 - 3,The message of the song,249
10128,18 - 24,Female,Architecture student,2 - 3,The message of the song,250
10129,18 - 24,Female,Architecture student,2 - 3,The message of the song,146
10129,18 - 24,Female,Architecture student,2 - 3,The message of the song,251
10129,18 - 24,Female,Architecture student,2 - 3,The message of the song,178
10129,18 - 24,Female,Architecture student,2 - 3,The message of the song,163
10129,18 - 24,Female,Architecture student,2 - 3,The message of the song,8
10129,18 - 24,Female,Architecture student,2 - 3,The message of the song,15
10135,18 - 24,Female,Architecture student,2 - 3,The message of the song,105
10136,18 - 24,Female,Architecture student,2 - 3,The message of the song,171
10136,18 - 24,Female,Architecture student,2 - 3,The message of the song,252
10136,18 - 24,Female,Architecture student,2 - 3,The message of the song,253
10136,18 - 24,Female,Architecture student,2 - 3,The message of the song,254
10136,18 - 24,Female,Architecture student,2 - 3,The message of the song,255
10136,18 - 24,Female,Architecture student,2 - 3,The message of the song,256
10142,18 - 24,Female,Architecture student,2 - 3,The message of the song,73
10143,18 - 24,Female,Architecture student,2 - 3,The message of the song,154
10144,18 - 24,Female,Architecture student,2 - 3,The message of the song,17
10143,18 - 24,Female,Architecture student,2 - 3,The message of the song,89
10146,18 - 24,Female,Architecture student,2 - 3,The message of the song,143
10147,18 - 24,Male,Student,0 - 1,Tempo/speed,179
10148,18 - 24,Male,Student,0 - 1,Tempo/speed,236
10149,18 - 24,Male,Student,0 - 1,Tempo/speed,10
10147,18 - 24,Male,Student,0 - 1,Tempo/speed,164
10147,18 - 24,Male,Student,0 - 1,Tempo/speed,257
10152,18 - 24,Female,Student,2 - 3,The singer's voice,174
10153,18 - 24,Female,Undergraduate,3 - 5,Music,39
10154,18 - 24,Male,Medical  student,0 - 1,Music,258
10155,18 - 24,Female,Student,0 - 1,Music,81
10156,18 - 24,Female,Student,0 - 1,Music,259
10155,18 - 24,Female,Student,0 - 1,Music,83
10158,18 - 24,Female,Student,0 - 1,Music,93
10155,18 - 24,Female,Student,0 - 1,Music,157
10160,18 - 24,Male,Student,0 - 1,The message of the song,79
10161,25 - 34,Female,Accountant,0 - 1,The message of the song,79
10162,25 - 34,Female,Accountant,0 - 1,The message of the song,260
10161,25 - 34,Female,Accountant,0 - 1,The message of the song,56
10161,25 - 34,Female,Accountant,0 - 1,The message of the song,174
10165,25 - 34,Female,Accountant,0 - 1,The message of the song,71
10166,25 - 34,Female,Accountant,0 - 1,The message of the song,261
10167,18 - 24,Male,Software engineer,3 - 5,The singer's voice,114
10168,18 - 24,Male,Student,0 - 1,Music,186
10169,18 - 24,Male,Student,0 - 1,Music,227
10168,18 - 24,Male,Student,0 - 1,Music,7
10171,18 - 24,Male,Student,0 - 1,Music,237
10168,18 - 24,Male,Student,0 - 1,Music,262
10173,18 - 24,Male,Student,0 - 1,Music,79
10173,18 - 24,Male,Student,0 - 1,Music,113
10175,18 - 24,Male,Student,0 - 1,Music,263
10176,18 - 24,Female,University student,0 - 1,Music,264
10176,18 - 24,Female,University student,0 - 1,Music,175
10176,18 - 24,Female,University student,0 - 1,Music,145
10179,18 - 24,Female,University student,0 - 1,Music,127
10180,18 - 24,Female,University student,0 - 1,Music,47
10181,18 - 24,Female,University student,0 - 1,Music,211
10182,18 - 24,Female,University student,0 - 1,Music,265
10181,18 - 24,Female,University student,0 - 1,Music,73
10181,18 - 24,Female,University student,0 - 1,Music,48
10185,18 - 24,Male,Student,3 - 5,The singer's voice,227
10186,18 - 24,Female,Undergraduate student,3 - 5,Music,7
10187,25 - 34,Male,Accountant,0 - 1,The message of the song,79
10187,25 - 34,Male,Accountant,0 - 1,The message of the song,110
10189,18 - 24,Female,Student,more than 5,Music,55
10190,18 - 24,Female,Medical student,0 - 1,The singer's voice,266
10190,18 - 24,Female,Medical student,0 - 1,The singer's voice,24
10192,18 - 24,Female,student,0 - 1,All,267
10193,18 - 24,Female,student,0 - 1,All,76
10194,18 - 24,Female,student,0 - 1,All,227
10195,18 - 24,Female,student,0 - 1,All,264
10194,18 - 24,Female,student,0 - 1,All,229
10197,18 - 24,Female,student,0 - 1,All,174
10194,18 - 24,Female,student,0 - 1,All,140
10199,18 - 24,Female,student,0 - 1,All,268
10194,18 - 24,Female,student,0 - 1,All,269
10194,18 - 24,Female,student,0 - 1,All,79
10202,18 - 24,Female,student,0 - 1,All,176
10203,25 - 34,Male,Software Quality Engineer,1 - 3,The singer's voice,270
10204,45 - 54,Male,Engineer,0 - 1,The singer's voice,271
10204,45 - 54,Male,Engineer,0 - 1,The singer's voice,48
10206,45 - 54,Male,Engineer,0 - 1,The singer's voice,47
10207,18 - 24,Male,Engineer,1 - 3,The instrument being used,193
10208,18 - 24,Female,Student,0 - 1,The message of the song,145
10209,18 - 24,Female,Student,0 - 1,The message of the song,236
10208,18 - 24,Female,Student,0 - 1,The message of the song,72
10211,18 - 24,Female,Student,0 - 1,The message of the song,272
10208,18 - 24,Female,Student,0 - 1,The message of the song,61
10213,25 - 34,Male,Banker,1 - 3,The message of the song,131
10213,25 - 34,Male,Banker,1 - 3,The message of the song,136
