song_id,Title,Artist,Artist_id,Album,Genre
2,Aa Ra Sulan,Nirosha Virajini,21,No Album,
283,Aale katha,"Kalpana Nayanamadu, Shermaine Willis ft Iraj",11,,
3,Ada Nam Ma Hada Iwasum Na,Raveen Kanishka & Kalpana Kavindi,101,,
4,Ada Thaniyen Ma Hadanne Na Ma,Shihan Mihiranga,62,,
5,Adambarai Baluwama Nam,Surani De Mel,80,,
6,Adanne Ay Sudu Manike,H. R. Jothipala,81,,
305,Adaraneeya Neranjana ,Priya Sooriyasena,36,,
7,Adaraya Ayai,Bathiya & Santhush ,79,Oba Nisa (White Edition),
8,Adare sithum,Kasun Kalhara,5,,
9,Adarema Geethayak,Kasun Kalhara ft Raj,5,,
232,Adaren (Lanwenna Hithuwata),Meena Prasadini,102,,
299,Aduru kutiya thula ,T M Jayarathna,9,,
311,Ae,Bathiya n Santhush,79,Life,
265,Ahasin eha,Kasun Kalhara ft. Uresha Ravihari ,5,,
273,Ahasin polowata,Sunil Edirisinghe,20,,
10,Ai Kale Adare,Bathiya & Santhush,79,Oba Nisa (White Edition),
282,Ai kale mulu hadinma,Gayan Perera (Daddy),4,,
237,Akeekaru pem kathawak,Kanchana Anuradhi,103,,
295,Alawanthakam,Saman Indika,104,,
11,Alen Ma,Dilmin Perera,95,,
12,Alen Wela Ganna,Athula Adhikari ft. Samitha Mudunkotuwa ,54,,
13,Amma Sandaki,T M Jayarathna,9,,
241,Anagathaye,Wayo,6,,
14,Ananthayata Yana Para Dige,Kasun Kalhara,5,,
258,Ananthaye , Kaveesha Kaviraj,105,,
302,Anatha maruthe ,Rookantha Gunathilake,41,,
220,Api hagum walata ida dee mohothak,Victor Rathnayaka,61,,
247,Api kauruda, Wayo,6,,
15,Arabumama Kadulak Wela Ma Bala Iddi,Kasun Kalhara,5,,
16,Atha Kadukara Himau Arane,W D Amaradeva,17,,
1,Atha Ran Wiman Thulin Pata Selayen Sadi,Priya Sooriyasena,36,Mage Semaru Pothe,
271,Athinwath atha,Amarasiri Peiris,1,,
17,Athithaya Sihinayak Pamanai,Karunarathna Divulgane,59,,
264,Athsana,Nadeera HelaSri,106,,
18,Awado Sansare Ma Ha Badee,Gunadasa Kapuge,53,Sanda Raa Sihinayes,
284,Awathan hade,Harsha Withanage,46,,
