song_id,Title,Artist
2,Aa Ra Sulan,Nirosha Virajini
283,Aale katha,"Kalpana Nayanamadu, Shermaine Willis ft Iraj"
3,Ada Nam Ma Hada Iwasum Na,Raveen Kanishka & Kalpana Kavindi
4,Ada Thaniyen Ma Hadanne Na Ma,Shihan Mihiranga
5,Adambarai Baluwama Nam,Surani De Mel
6,Adanne Ay Sudu Manike,H. R. Jothipala
305,Adaraneeya Neranjana ,Priya Sooriyasena
7,Adaraya Ayai,Bathiya & Santhush 
8,Adare sithum,Kasun Kalhara
9,Adarema Geethayak,Kasun Kalhara ft Raj
232,Adaren (Lanwenna Hithuwata),Meena Prasadini
299,Aduru kutiya thula ,T M Jayarathna
311,Ae,Bathiya n Santhush
265,Ahasin eha,Kasun Kalhara ft. Uresha Ravihari 
273,Ahasin polowata,Sunil Edirisinghe
10,Ai Kale Adare,Bathiya & Santhush
282,Ai kale mulu hadinma,Gayan Perera (Daddy)
237,Akeekaru pem kathawak,Kanchana Anuradhi
295,Alawanthakam,Saman Indika
11,Alen Ma,Dilmin Perera
12,Alen Wela Ganna,Athula Adhikari ft. Samitha Mudunkotuwa 
13,Amma Sandaki,T M Jayarathna
241,Anagathaye,Wayo
14,Ananthayata Yana Para Dige,Kasun Kalhara
258,Ananthaye , Kaveesha Kaviraj
302,Anatha maruthe ,Rookantha Gunathilake
220,Api hagum walata ida dee mohothak,Victor Rathnayaka
247,Api kauruda, Wayo
15,Arabumama Kadulak Wela Ma Bala Iddi,Kasun Kalhara
16,Atha Kadukara Himau Arane,W D Amaradeva
1,Atha Ran Wiman Thulin Pata Selayen Sadi,Priya Sooriyasena
271,Athinwath atha,Amarasiri Peiris
17,Athithaya Sihinayak Pamanai,Karunarathna Divulgane
264,Athsana,Nadeera HelaSri
18,Awado Sansare Ma Ha Badee,Gunadasa Kapuge
284,Awathan hade,Harsha Withanage
19,Ay Kale Mulu Hadinma Oba Mata Adare,Daddy
20,Ayage Sinaha,Rohitha Rajapaksa
21,Baila Gamuda,Bathiya n Santhush
22,Billa,Centigradz
309,Boralu anena,Deepika Priyadarshani
23,Chain,Cairo Rich ft. Costa
24,Chakithaya,Nemesis
25,Chandani Payala,BnS
26,Chandrayan Pidu Kiranak Sagawala Horen,Daddy
257,Channa Kinnaravi,Bachi Susan
274,Ciao Malli,Sanuka Wickramasinghe
27,Cuore Nero (Italian),Cairo Rich 
28,Daasin Paa,Lahiru Perera x Anushka Udana
259,Daffodil mala,Dayan Witharana
29,Daiwaye Saradamin,Athula Adikari & Samitha Mudunkotuwa
30,Das Piyan Wesena Asille,Bathiya n Sathush
256,Dasama riddana,Nelu Adhikari
31,Dasin Pa Ma Ingi Maru Dewliye,Lahiru Perera  
32,Dedunna Sedi,Bathiya n Sathush(BnS) ft Asha Boshle
254,Denuwan piya,Umaria Sinhawansa
33,Dewadaththa,YAKA & Mandira N Maliga ft. DOTA & Shashini janz
34,Dewagana,Chanuka Mora
35,Dewiyo Wadee,YAKA Crew
36,Dinuma Paraduma,Asadithaya ft. Hiruwa
37,Diwasaravi,Kanishka Abeysinghe
38,Duka Danna Nisai Mulu Hadinma,Asanka Priyamantha
39,Duwe Nuba Mage Pranayai,Sunil Edirisinghe
243,Eka wasanthayaka,Kasun Kalhara
245,Eka yaye,Sunil Edirisinghe
40,Esdeka Pura-Yannam Yannam,Shashika Nisansala
279,Etha kandukara,W.D. Amaradewa
41,Eya Meya,Gypsies
234,Galana ganga,"Charitha Attalage, Ravi jay"
42,Gamata Kalin Hiru,Karunarathna Divulgane
43,Gamen Liyumak Awilla,Clarence Wijewardena
44,Gassana Dagha Malla,Bathiya & Santhush
297,Gayamu dawasaka,Lavan Abhishek and Kamani
45,Golu Daruwek Una Kiya,Asanka Priyamantha
293,Gomara mala,Dushyanth Weeraman
46,Gum Nade,Umariya
239,Hama deyak pene,"Samitha Mudunkotuwa, Bachi Susan"
225,Hanguman,Hirushi
47,Hanthana Sihine(Bala Walapemi),W D Amaradeva & Umaria
48,Hanthanata Payana Sanda,Amarasiri Peiris
49,Hawasaka Ma,Lahiru Perera
231,Heena Maka,Harshadewa Ariyasinghe
266,Hethuwa,Vidula Ravishara
50,Hey Kakulee,Ravi Royster Pasan ft. Liyanage
270,Hiinamaka,Harshadewa ft. Ravi Jay 
51,Hinahenne Mung Mey Wil Theeraye,Ranidu Lankage
280,Hini peththta,Bathiya N Santhush
52,Hiru Mal,Ruwan Hettiarachchi ft. Umaria
53,Hitha Assata,Athula Adikari  
54,Hitha Dura Handa,Athma Liyanage ft Thilina R
55,Hitha Hiriwetunado,Bachi Susan n Ashanthi
