SessionId,ItemId,Time
1,174,1396766998.728
1,220,1396767132.647
2,221,1396776384.127
3,164,1396776534.654
4,6,1396776553.479
4,124,1396788613.638
4,222,1396788774.363
4,223,1396788798.268
4,59,1396776854.289
5,92,1396776856.193
5,146,1396795498.482
5,10,1396795579.569
5,174,1396800790.756
6,174,1396800827.162
7,174,1396800829.398
7,224,1396800829.925
7,134,1396800925.464
7,225,1396800925.792
7,196,1396800926.502
7,127,1396800955.366
7,226,1396800959.004
8,127,1396800959.531
8,194,1396800999.682
8,123,1396801013.065
8,152,1396801053.199
9,3,1396801070.144
10,151,1396801071.419
11,26,1396801072.049
11,210,1396807218.669
11,52,1396807290.080
11,55,1396795769.034
11,79,1396795872.544
12,227,1396766078.902
12,202,1396766080.247
12,228,1396766098.280
12,174,1396766200.343
12,175,1396766201.495
12,229,1396808560.046
12,140,1396808561.522
12,79,1396791754.618
12,84,1396791780.299
13,230,1396791891.971
13,243,1396791944.613
14,234,1396791949.462
15,196,1396791987.323
15,176,1396792007.147
15,231,1396792034.526
15,86,1396792116.052
15,232,1396792136.201
15,102,1396763904.215
15,37,1396763952.227
15,229,1396763988.488
15,76,1396759148.863
15,194,1396759234.218
15,128,1396785132.348
15,175,1396785166.032
15,233,1396785271.004
15,228,1396821075.878
15,234,1396821242.098
15,235,1396802929.401
16,39,1396803004.782
16,81,1396798249.175
16,92,1396798294.271
17,40,1396772033.306
17,236,1396772312.658
17,80,1396803031.634
17,173,1396803106.740
18,147,1396815468.496
18,237,1396815503.088
18,238,1396793819.957
19,160,1396793832.378
19,110,1396793896.707
20,59,1396780367.246
20,160,1396780591.023
21,78,1396809943.933
21,225,1396809976.914
21,239,1396762972.214
21,13,1396763003.799
21,210,1396763057.445
21,191,1396763116.896
21,80,1396763208.042
21,178,1396763908.606
21,182,1396763943.163
21,106,1396763982.963
21,145,1396764326.522
21,211,1396764400.037
21,146,1396774569.941
22,228,1396774661.929
22,140,1396769607.228
23,79,1396770098.816
23,174,1396760480.547
23,179,1396760517.363
24,240,1396807364.585
25,77,1396807500.668
26,228,1396786593.419
26,196,1396787480.326
26,135,1396805924.000
26,227,1396806059.444
26,99,1396806141.925
27,145,1396758054.184
27,241,1396758133.955
27,140,1396777934.508
27,227,1396777934.616
27,79,1396807922.937
27,140,1396808008.814
28,310,1396770565.582
28,122,1396770635.927
28,242,1396771207.809
28,311,1396771265.101
28,243,1396806291.492
28,139,1396806380.030
28,14,1396806457.947
28,73,1396767482.487
28,244,1396767506.104
28,245,1396767534.906
28,246,1396777208.108
29,212,1396778098.702
29,247,1396783549.334
30,135,1396783671.546
31,174,1396783741.731
32,140,1396783746.865
33,248,1396783776.208
33,79,1396799645.349
33,191,1396799854.470
33,210,1396800557.273
33,55,1396808767.431
33,249,1396808874.586
33,250,1396808895.059
33,146,1396809012.976
33,251,1396809440.986
33,178,1396761214.471
33,163,1396761264.652
33,8,1396761650.670
33,15,1396761733.746
33,105,1396762232.606
33,171,1396789162.715
33,252,1396789176.535
33,253,1396789270.731
33,254,1396774452.150
33,255,1396774514.787
33,256,1396774541.871
33,73,1396774679.006
33,154,1396774741.504
33,17,1396774796.213
33,89,1396774814.434
33,143,1396774974.471
34,179,1396758802.272
34,236,1396759456.337
34,10,1396810343.775
34,164,1396810359.689
34,257,1396810399.893
35,174,1396810424.116
36,39,1396811017.753
37,258,1396763963.727
38,81,1396764122.034
38,259,1396764319.430
38,83,1396817885.976
38,93,1396817892.334
38,157,1396817933.912
39,79,1396766602.021
40,79,1396766858.713
40,260,1396770129.047
40,56,1396770334.633
40,174,1396790186.819
40,71,1396790391.243
40,261,1396765749.414
41,114,1396765751.741
42,186,1396765821.043
42,227,1396765822.469
42,7,1396780451.953
42,237,1396782103.078
42,262,1396772943.435
42,79,1396773251.101
42,113,1396773325.042
42,263,1396773419.965
43,264,1396773700.389
43,175,1396807802.175
43,145,1396807820.355
43,127,1396773999.669
43,47,1396774273.150
43,211,1396767170.456
43,265,1396767176.268
43,73,1396767178.343
43,48,1396767344.775
44,227,1396767358.983
45,7,1396767464.953
46,79,1396767549.699
46,110,1396767561.860
47,55,1396767585.508
48,266,1396767647.247
48,24,1396767658.210
49,267,1396773179.203
49,76,1396774293.559
49,227,1396758919.985
49,264,1396759194.908
49,229,1396759470.218
49,174,1396759581.764
49,140,1396759774.558
49,268,1396796258.209
49,269,1396797235.321
49,79,1396801305.988
49,176,1396801335.073
50,270,1396797562.108
51,271,1396797625.506
51,48,1396797667.317
51,47,1396797717.965
52,193,1396797788.890
53,145,1396754236.938
53,236,1396754258.291
53,72,1396799724.474
53,272,1396799859.038
53,61,1396799874.063
54,131,1396800115.256
54,136,1396800247.547
54,273,1396801508.264
54,100,1396801622.586
55,140,1396758722.903
55,174,1396758850.795
55,179,1396759052.367
55,178,1396759112.428
55,274,1396809476.761
55,139,1396809562.016
55,15,1396809593.391
55,275,1396809614.250
55,96,1396809645.437
55,276,1396809670.184
55,31,1396809770.394
55,277,1396809882.290
55,199,1396809937.179
55,278,1396810049.240
55,145,1396793646.487
55,175,1396793697.652
55,127,1396797964.565
55,102,1396798344.843
55,279,1396763287.467
55,22,1396763405.607
55,35,1396791659.722
55,75,1396791710.476
55,280,1396791764.559
55,281,1396776133.292
55,77,1396776141.072
55,282,1396776223.130
55,26,1396776253.629
56,140,1396776329.235
56,52,1396767245.319
56,259,1396767283.908
56,25,1396767334.190
56,32,1396767356.013
57,81,1396767417.109
58,211,1396767485.191
58,217,1396764270.973
58,61,1396764317.301
58,9,1396764375.244
58,208,1396764562.836
58,207,1396801139.218
58,204,1396801140.139
59,283,1396801490.541
