user_id,age_group,gender,profession,hours_spending,musical_aspect,listened_songs,song_id
10001,18 - 24,Female,Student,0 - 1,Tempo/speed,Sandaganawa,174
10002,18 - 24,Female,Student,0 - 1,Tempo/speed,Api hagum walata ida dee mohothak,220
10003,25 - 34,Male,Working,2 - 3,The singer's voice,Mandaram Wahi Watena,221
10004,18 - 24,Female,Software Engineer,more than 5,The singer's voice,Ru Sara,164
10005,18 - 24,Male,software engineer,more than 5,The singer's voice,Adanne Ay Sudu Manike,6
10006,18 - 24,Male,Software Engineer,3 - 5,The instrument being used,Ninda noyana handawe - Ranidu,124
10007,18 - 24,Male,Software Engineer,3 - 5,The instrument being used,Ra ahase - Billy,222
10008,18 - 24,Male,Software Engineer,0 - 1,Tempo/speed,Man ithaliye thani una,223
10009,18 - 24,Male,Software Engineer,0 - 1,Tempo/speed,Hithin yana aya athin alla nawaththannata ba,59
10010,18 - 24,Female,Undergraduate,0 - 1,The singer's voice,Mal pan podak,92
10011,18 - 24,Female,Undergraduate,0 - 1,The singer's voice,Pini Binduwak Wennata Asai,146
10012,18 - 24,Female,Undergraduate,0 - 1,The singer's voice,Ai Kale Adare,10
10013,18 - 24,Female,Undergraduate,0 - 1,The singer's voice,Sandaganawa,174
10014,18 - 24,Female,Student,0 - 1,The instrument being used,Sandaganawa,174
10015,18 - 24,Female,UI engineer,3 - 5,The singer's voice,Sandaganawa,174
10016,18 - 24,Female,UI engineer,3 - 5,The singer's voice,Sinasenna,224
10017,18 - 24,Female,UI engineer,3 - 5,The singer's voice,Oba magemai,134
10018,18 - 24,Female,UI engineer,3 - 5,The singer's voice,Hanguman,225
10019,18 - 24,Female,UI engineer,3 - 5,The singer's voice,Soya awa,196
10020,18 - 24,Female,UI engineer,3 - 5,The singer's voice,Nura wasanthe,127
10021,18 - 24,Female,UI engineer,3 - 5,The singer's voice,Sihinaya,226
10022,25 - 34,Female,Engineer,2 - 3,Tempo/speed,Nura wasanthe,127
10023,25 - 34,Female,Engineer,2 - 3,Tempo/speed,Sonduru Siththam,194
10024,25 - 34,Female,Engineer,2 - 3,Tempo/speed,Nimnaviye,123
10025,25 - 34,Female,Engineer,2 - 3,Tempo/speed,Raa pura payana,152
10026,18 - 24,Female,student,2 - 3,The singer's voice,Ada Nam maa hada iwasum na,3
10027,18 - 24,Male,Marketer,2 - 3,The instrument being used,Ra Ahasin - Kasun Kalhara,151
10028,18 - 24,Female,Student,0 - 1,Tempo/speed,Chandrayan pidu,26
10029,18 - 24,Female,Student,0 - 1,Tempo/speed,Unmadini ,210
10030,18 - 24,Female,Student,0 - 1,Tempo/speed,Hiru Mal ,52
10031,18 - 24,Female,Student,0 - 1,Tempo/speed,Hitha Hiriwatunado,55
10032,18 - 24,Female,student,0 - 1,The singer's voice,Kuweni,79
10033,25 - 34,Male,student,2 - 3,The singer's voice,Prathihari,227
10034,25 - 34,Male,student,2 - 3,The singer's voice,Surath suwaya,202
10035,25 - 34,Male,student,2 - 3,The singer's voice,Radhawani,228
10036,25 - 34,Male,student,2 - 3,The singer's voice,Sandaganawa,174
10037,25 - 34,Male,student,2 - 3,The singer's voice,Sandanaari,175
10038,25 - 34,Male,student,2 - 3,The singer's voice,Mahamaaya,229
10039,25 - 34,Male,student,2 - 3,The singer's voice,Pandama,140
10040,25 - 34,Male,student,2 - 3,The singer's voice,Kuweni,79
10041,25 - 34,Male,student,2 - 3,The singer's voice,Lokayen yamu ,84
10042,25 - 34,Male,Undergraduate,0 - 1,Tempo/speed,Sinha Lokaye Sinhaya,230
10043,25 - 34,Male,Undergraduate,0 - 1,Tempo/speed,Eka wasanthayaka,243
10044,18 - 24,Male,Student,0 - 1,The instrument being used,Galana ganga,234
10045,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,Soya awa,196
10046,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,Sandawathiye,176
10047,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,Heena Maka,231
10048,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,Ma oba hamuwana dinaye,86
10049,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,Adaren (Lanwenna Hithuwata),232
10050,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,Mayam kalawe,102
10051,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,Diwasaravi,37
10052,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,Mahamaya,229
10053,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,Kawiya Oba,76
10054,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,Sonduru Siththam,194
10055,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,Nurawi,128
10056,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,Sandanari,175
10057,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,Unmada chithra,233
10058,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,Radhawani,228
10059,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,Ganala ganga,234
10060,25 - 34,Male,Undergraduate,2 - 3,The singer's voice,Rahath himiwaru,235
10061,18 - 24,Female,Student,2 - 3,Music,Duwe numba mage pranayai,39
10062,18 - 24,Female,Student,2 - 3,Music,landune,81
10063,18 - 24,Female,Student,2 - 3,Music,mal pan podak,92
10064,18 - 24,Male,student,2 - 3,Music,Es Deka Pura ,40
10065,18 - 24,Male,student,2 - 3,Music,Sansara Sihine ,236
10066,18 - 24,Male,student,2 - 3,Music,Labandiye ,80
10067,18 - 24,Male,student,2 - 3,Music,Sanda Thaniyama (Nirosha Virajini),173
10068,18 - 24,Female,Student,2 - 3,The message of the song,pinna malak,147
10069,18 - 24,Female,Student,2 - 3,The message of the song,Akeekaru pem kathawak,237
10070,18 - 24,Female,Student,2 - 3,The message of the song,husmath unui,238
10071,18 - 24,Female,Business Analyst,2 - 3,Music,Ridena noriddena,160
10072,18 - 24,Female,Business Analyst,2 - 3,Music,Mihirawa Awa,110
10073,18 - 24,Female,AL Teacher,more than 5,Music,Hithin yana aya athin alla nawaththannata ba,59
10074,18 - 24,Female,AL Teacher,more than 5,Music,Ridena noridena ,160
10075,18 - 24,Female,Student,2 - 3,Music,Kohe Yannada,78
10076,18 - 24,Female,Student,2 - 3,Music,Hanguman,225
10077,18 - 24,Female,Student,2 - 3,Music,Hama deyak pene,239
10078,18 - 24,Female,Student,2 - 3,Tempo/speed,Amma sandaki,13
10079,18 - 24,Female,Student,2 - 3,Tempo/speed,Unmadini,210
10080,18 - 24,Female,Student,2 - 3,Tempo/speed,sithin ma nosalee,191
10081,18 - 24,Female,Student,2 - 3,Tempo/speed,labandiye,80
10082,18 - 24,Female,Student,2 - 3,Tempo/speed,sara sihina rahase,178
10083,18 - 24,Female,Student,2 - 3,Tempo/speed,seetha maruthe,182
10084,18 - 24,Female,Student,2 - 3,Tempo/speed,me tharam siyumalida kalugal,106
10085,18 - 24,Female,Student,2 - 3,Tempo/speed,perawadanak,145
10086,18 - 24,Female,Student,2 - 3,Tempo/speed,Aradhana,211
10087,18 - 24,Female,Student,2 - 3,Tempo/speed,pinibinduwak wennata asai,146
10088,18 - 24,Female,Business Analyst,0 - 1,Music,Radhawani,228
10089,18 - 24,Female,Business Analyst,0 - 1,Music,Pandhama,140
10090,18 - 24,Female,Student,0 - 1,The singer's voice,Kuweniye,79
10091,18 - 24,Female,Student,0 - 1,The singer's voice,Sandaganawa,174
10092,18 - 24,Female,Student,0 - 1,The singer's voice,Saragaye,179
10093,25 - 34,Female,Engineer,2 - 3,Music,Ulkapathayak,240
10094,18 - 24,Male,Undergraduate,2 - 3,Tempo/speed,Kiri Kodu Hithata,77
10095,18 - 24,Female,Student,2 - 3,The message of the song,Radhawani,228
10096,18 - 24,Female,Student,2 - 3,The message of the song,Soya awa,196
10097,18 - 24,Female,Student,2 - 3,The message of the song,Oba nisa,135
10098,18 - 24,Female,Student,2 - 3,The message of the song,Prathihari,227
10099,18 - 24,Female,Student,2 - 3,The message of the song,Mathakai eda,99
10100,18 - 24,Female,Student,0 - 1,The instrument being used,Perawadanak,145
10101,18 - 24,Female,Student,0 - 1,The instrument being used,anagathaye,241
10102,25 - 34,Female,Student,0 - 1,The message of the song,Pandama,140
10103,25 - 34,Female,Student,0 - 1,The message of the song,Prathihari,227
10104,25 - 34,Female,Student,0 - 1,The message of the song,Kuweni,79
10105,18 - 24,Female,Student,0 - 1,Tempo/speed,Pandama,140
10106,18 - 24,Female,Student,2 - 3,The message of the song,Wasanthaye Pipidena Mal,310
10107,18 - 24,Female,Student,2 - 3,The message of the song,Nethu saluna,122
10108,18 - 24,Female,Student,2 - 3,The message of the song,ran wan mal dam,242
10109,18 - 24,Female,Student,2 - 3,The message of the song,Ae,311
10110,18 - 24,Female,Student,2 - 3,The message of the song,Eka wasanthayaka,243
10111,18 - 24,Female,Student,2 - 3,The message of the song,Pamawee Pipunu Mal Suwandai,139
10112,18 - 24,Female,Student,2 - 3,The message of the song,ananthayata yana,14
10113,18 - 24,Female,Student,2 - 3,The message of the song,Kaulu Piyan Path Wahanna,73
10114,18 - 24,Female,Student,2 - 3,The message of the song,Nethu dahan,244
10115,18 - 24,Female,Student,2 - 3,The message of the song,eka yaye,245
10116,18 - 24,Female,Student,2 - 3,The message of the song,me mal yaye ,246
10117,25 - 34,Male,Executive,more than 5,Music,wakkada laga,212
10118,25 - 34,Male,Executive,more than 5,Music,api kauruda,247
10119,18 - 24,Male,Engineer,2 - 3,Music,Oba nisa ,135
10120,18 - 24,Female,Engineer,0 - 1,Music,Sadaganawa,174
10121,18 - 24,Female,Student,0 - 1,Music,Pandama,140
10122,18 - 24,Female,Architecture student,2 - 3,The message of the song,"Pawena kodu akase
",248
10123,18 - 24,Female,Architecture student,2 - 3,The message of the song,"Kuweniye
",79
10124,18 - 24,Female,Architecture student,2 - 3,The message of the song,Sithin Ma,191
10125,18 - 24,Female,Architecture student,2 - 3,The message of the song,Unmadini,210
10126,18 - 24,Female,Architecture student,2 - 3,The message of the song,Hitha hiriwatunado,55
10127,18 - 24,Female,Architecture student,2 - 3,The message of the song,Mandakini,249
10128,18 - 24,Female,Architecture student,2 - 3,The message of the song,Mayawee,250
10129,18 - 24,Female,Architecture student,2 - 3,The message of the song,Pinibinduwak,146
10130,18 - 24,Female,Architecture student,2 - 3,The message of the song,Raata man,251
10131,18 - 24,Female,Architecture student,2 - 3,The message of the song,Sara sihina,178
10132,18 - 24,Female,Architecture student,2 - 3,The message of the song,Rosa kalpana,163
10133,18 - 24,Female,Architecture student,2 - 3,The message of the song,Adare sithum,8
10134,18 - 24,Female,Architecture student,2 - 3,The message of the song,Arabumama kandulakwela,15
10135,18 - 24,Female,Architecture student,2 - 3,The message of the song,Me sanda unath,105
10136,18 - 24,Female,Architecture student,2 - 3,The message of the song,Sanda latha,171
10137,18 - 24,Female,Architecture student,2 - 3,The message of the song,Piyawuna,252
10138,18 - 24,Female,Architecture student,2 - 3,The message of the song,Kandulu irthuwe,253
10139,18 - 24,Female,Architecture student,2 - 3,The message of the song,Denuwan piya,254
10140,18 - 24,Female,Architecture student,2 - 3,The message of the song,Sanda pahan raye,255
10141,18 - 24,Female,Architecture student,2 - 3,The message of the song,Dasama riddana,256
10142,18 - 24,Female,Architecture student,2 - 3,The message of the song,Kawulu piyan path,73
10143,18 - 24,Female,Architecture student,2 - 3,The message of the song,Rahase handana ,154
10144,18 - 24,Female,Architecture student,2 - 3,The message of the song,Atheethaya sihinayak ,17
10145,18 - 24,Female,Architecture student,2 - 3,The message of the song,Maha warusawata,89
10146,18 - 24,Female,Architecture student,2 - 3,The message of the song,Pera dinayaka ma,143
10147,18 - 24,Male,Student,0 - 1,Tempo/speed,Saragaye,179
10148,18 - 24,Male,Student,0 - 1,Tempo/speed,Sansaara Sihine,236
10149,18 - 24,Male,Student,0 - 1,Tempo/speed,Ai kale aadare,10
10150,18 - 24,Male,Student,0 - 1,Tempo/speed,Ru Sara,164
10151,18 - 24,Male,Student,0 - 1,Tempo/speed,Channa Kinnaravi,257
10152,18 - 24,Female,Student,2 - 3,The singer's voice,Sandaganawa,174
10153,18 - 24,Female,Undergraduate,3 - 5,Music,Duwe Nuba Mage Pranayai,39
