song_id,Title,Artist,artist_id,Album,Genre,Lyrics Composer
2,Aa Ra Sulan,Nirosha Virajini,21,No Album,,
283,Aale katha,"Kalpana Nayanamadu, Shermaine Willis ft Iraj",,,,
3,Ada Nam Ma Hada Iwasum Na,Raveen Kanishka & Kalpana Kavindi,Raveen Kanishka & Kalpana Kavindi,,,
4,Ada Thaniyen Ma Hadanne Na Ma,Shihan Mihiranga,62,,,
5,Adambarai Baluwama Nam,Surani De Mel,80,,,
6,Adanne Ay Sudu Manike,H. R. Jothipala,81,,,
305,Adaraneeya Neranjana ,Priya Sooriyasena,,,,
7,Adaraya Ayai,Bathiya & Santhush ,79,Oba Nisa (White Edition),,
8,Adare sithum,Kasun Kalhara,10,,,
9,Adarema Geethayak,Kasun Kalhara ft Raj,5,,,Isuru Weerasinghe Mudali
232,Adaren (Lanwenna Hithuwata),Meena Prasadini,,,,
299,Aduru kutiya thula ,T M Jayarathna,9,,,
311,Ae,Bathiya n Santhush,79,Life,,
265,Ahasin eha,Kasun Kalhara ft. Uresha Ravihari ,,,,
273,Ahasin polowata,Sunil Edirisinghe,20,,,
10,Ai Kale Adare,Bathiya & Santhush,79,Oba Nisa (White Edition),,
282,Ai kale mulu hadinma,Gayan Perera (Daddy),4,,,
237,Akeekaru pem kathawak,Kanchana Anuradhi,,,,
295,Alawanthakam,Saman Indika,,,,
11,Alen Ma,Dilmin Perera,111,,,
12,Alen Wela Ganna,Athula Adhikari ft. Samitha Mudunkotuwa ,"22,54 ",,,
13,Amma Sandaki,T M Jayarathna,9,,,
241,Anagathaye,Wayo,6,,,
14,Ananthayata Yana Para Dige,Kasun Kalhara,5,,,
258,Ananthaye , Kaveesha Kaviraj,,,,
302,Anatha maruthe ,Rookantha Gunathilake,41,,,
220,Api hagum walata ida dee mohothak,Victor Rathnayaka,61,,,
247,Api kauruda, Wayo,6,,,
15,Arabumama Kadulak Wela Ma Bala Iddi,Kasun Kalhara,5,,,
16,Atha Kadukara Himau Arane,W D Amaradeva,17,,,
1,Atha Ran Wiman Thulin Pata Selayen Sadi,Priya Sooriyasena,95,Mage Semaru Pothe,,
271,Athinwath atha,Amarasiri Peiris,1,,,
17,Athithaya Sihinayak Pamanai,Karunarathna Divulgane,59,,,
264,Athsana,Nadeera HelaSri,,,,
18,Awado Sansare Ma Ha Badee,Gunadasa Kapuge,53,Sanda Raa Sihinayes,,
284,Awathan hade,Harsha Withanage,46,,,
19,Ay Kale Mulu Hadinma Oba Mata Adare,Daddy,4,,,
20,Ayage Sinaha,Rohitha Rajapaksa,99,,,
21,Baila Gamuda,Bathiya n Santhush,79,,,
22,Billa,Centigradz,82,Billa,,
309,Boralu anena,Deepika Priyadarshani,91,,,
23,Chain,Cairo Rich ft. Costa,100,Black Heart,,
24,Chakithaya,Nemesis,107,,,
25,Chandani Payala,BnS,79,,,
26,Chandrayan Pidu Kiranak Sagawala Horen,Daddy,4,,,
257,Channa Kinnaravi,Bachi Susan,10,,,
274,Ciao Malli,Sanuka Wickramasinghe,7,,,
27,Cuore Nero (Italian),Cairo Rich ,100,Black Heart,,
28,Daasin Paa,Lahiru Perera x Anushka Udana,12,Sulag Kurullo [Episode 24],,
259,Daffodil mala,Dayan Witharana,,,,
29,Daiwaye Saradamin,Athula Adikari & Samitha Mudunkotuwa,54 & 22,,,
30,Das Piyan Wesena Asille,Bathiya n Sathush,79,,,
256,Dasama riddana,Nelu Adhikari,23,,,
31,Dasin Pa Ma Ingi Maru Dewliye,Lahiru Perera  ,12,,,
32,Dedunna Sedi,Bathiya n Sathush(BnS) ft Asha Boshle,79,,,
254,Denuwan piya,Umaria Sinhawansa,3,,,
33,Dewadaththa,YAKA & Mandira N Maliga ft. DOTA & Shashini janz,101,,,
34,Dewagana,Chanuka Mora,Chanuka Mora,,,
35,Dewiyo Wadee,YAKA Crew,101,,,
36,Dinuma Paraduma,Asadithaya ft. Hiruwa,Asadithaya ft. Hiruwa,,,
37,Diwasaravi,Kanishka Abeysinghe,105,,,
38,Duka Danna Nisai Mulu Hadinma,Asanka Priyamantha,92,,,
39,Duwe Nuba Mage Pranayai,Sunil Edirisinghe,20,,,
243,Eka wasanthayaka,Kasun Kalhara,5,,,
245,Eka yaye,Sunil Edirisinghe,20,,,
40,Esdeka Pura-Yannam Yannam,Shashika Nisansala,87,,,
279,Etha kandukara,W.D. Amaradewa,17,,,
41,Eya Meya,Gypsies,40,,,Chandradasa Fernando
234,Galana ganga,"Charitha Attalage, Ravi jay",,,,
42,Gamata Kalin Hiru,Karunarathna Divulgane,59,,,
43,Gamen Liyumak Awilla,Clarence Wijewardena,45,,,
44,Gassana Dagha Malla,Bathiya & Santhush,79,Oba Nisa (White Edition),,
297,Gayamu dawasaka,Lavan Abhishek and Kamani,,,,
45,Golu Daruwek Una Kiya,Asanka Priyamantha,92,,,
293,Gomara mala,Dushyanth Weeraman,,,,
46,Gum Nade,Umariya,3,,,
239,Hama deyak pene,"Samitha Mudunkotuwa, Bachi Susan",22 & 10,,,
225,Hanguman,Hirushi,,,,
47,Hanthana Sihine(Bala Walapemi),W D Amaradeva & Umaria,17 & 90,,,Janaka Siriwardana
48,Hanthanata Payana Sanda,Amarasiri Peiris,1,,,
49,Hawasaka Ma,Lahiru Perera,12,,,Manuranga Wijesekara
